step,energy,beta,lambda,delta
447,1.78906,0.0433983,1628.53,3.14
448,5.74609,0.0612029,1656.47,3.14
449,3.96777,0.0798355,1684.89,3.14
450,8.48633,0.0737433,1713.8,3.14
451,4.62891,0.11302,1743.2,3.14
452,4.38379,0.0929192,1773.11,3.14
453,11.7773,0.129554,1803.54,3.14
454,7.63477,0.0711584,1834.48,3.14
455,6.60645,0.154089,1865.96,3.14
456,4.99609,0.0716091,1897.97,3.14
457,15.7754,0.187964,1930.54,3.14
458,7.87305,0.117416,1963.66,3.14
459,3.91797,0.0774107,1997.36,3.14
460,4.40234,0.0586248,2031.63,3.14
461,2.96191,0.0831645,2066.5,3.14
462,8.07812,0.140889,2101.95,3.14
463,9.33789,0.0978032,2138.02,3.14
464,3.97852,0.0854957,2174.71,3.14
465,4.27539,0.0741944,2212.03,3.14
466,2.32422,0.0637529,2249.99,3.14
467,6.19629,0.133457,2288.6,3.14
468,5.90527,0.0983859,2327.88,3.14
469,4.1377,0.0805969,2367.83,3.14
470,5.82812,0.155818,2408.46,3.14
471,3.87988,0.0908336,2449.8,3.14
472,2.63867,0.0628467,2491.84,3.14
473,7.875,0.169813,2534.61,3.14
474,4.11328,0.112198,2578.1,3.14
475,7.06836,0.13771,2622.35,3.14
476,1.50977,0.0709718,2667.35,3.14
477,3.8457,0.143309,2713.13,3.14
478,6.86914,0.167225,2759.69,3.14
479,4.67578,0.11166,2807.06,3.14
480,7.0332,0.270099,2855.23,3.14
481,3.04004,0.110007,2904.23,3.14
482,2.12891,0.141346,2954.08,3.14
483,12.251,0.507055,3004.77,3.14
484,1.89941,0.176617,3056.35,3.14
485,1.63281,0.077669,3108.81,3.14
486,2.44824,0.140191,3162.17,3.14
487,1.49414,0.0952016,3216.44,3.14
488,3.35547,0.149314,3271.65,3.14
489,3.26562,0.146929,3327.81,3.14
490,5.06543,0.167785,3384.92,3.14
491,1.90332,0.115604,3443.03,3.14
492,3.43359,0.15813,3502.12,3.14
493,7.75977,0.306028,3562.24,3.14
494,5.9502,0.198068,3623.38,3.14
495,4.50684,0.152736,3685.57,3.14
496,4.98145,0.15548,3748.84,3.14
497,1.22852,0.190063,3813.19,3.14
498,3.15332,0.159425,3878.64,3.14
499,2.34668,0.180632,3945.22,3.14
500,7.68848,0.235853,4012.93,3.14
501,5.13477,0.260943,4081.81,3.14
502,2.95898,0.325276,4151.88,3.14
503,2.34961,0.1509,4223.15,3.14
504,1.87305,0.233812,4295.64,3.14
505,1.38672,0.142331,4369.39,3.14
506,3.05566,0.282359,4444.39,3.14
507,1.49805,0.1508,4520.68,3.14
508,3.47363,0.239373,4598.29,3.14
509,4.21289,0.253518,4677.22,3.14
510,4.67383,0.224815,4757.51,3.14
511,3.87695,0.603067,4839.18,3.14
512,1.18164,0.177099,4922.26,3.14
513,2.84082,0.209609,5006.76,3.14
514,2.875,0.338344,5092.71,3.14
515,1.54297,0.234761,5180.14,3.14
516,2.51074,0.189596,5269.07,3.14
517,1.49219,0.144622,5359.52,3.14
518,0.837891,0.199973,5451.54,3.14
519,1.4209,0.166736,5545.13,3.14
520,3.0293,0.354753,5640.33,3.14
521,0.763672,0.19801,5737.16,3.14
522,2.03906,0.697698,5835.66,3.14
523,1.52246,0.631447,5935.85,3.14
524,2.03516,0.302551,6037.76,3.14
525,2.52148,0.373566,6141.41,3.14
526,3.44238,0.375808,6246.85,3.14
527,2.70117,0.30212,6354.09,3.14
528,0.938477,0.267048,6463.19,3.14
529,1.4541,0.236385,6574.15,3.14
530,0.917969,0.23608,6687.03,3.14
531,3.41406,0.317682,6801.83,3.14
532,1.48242,0.27582,6918.62,3.14
533,0.679688,0.199096,7037.4,3.14
534,2.51953,0.329144,7158.23,3.14
535,0.919922,0.287773,7281.13,3.14
536,1.76367,0.345319,7406.14,3.14
537,2.37207,0.381166,7533.3,3.14
538,2.22852,0.368144,7662.64,3.14
539,1.23633,1.05283,7794.21,3.14
540,1.28027,0.481041,7928.03,3.14
541,2.56055,0.49603,8064.15,3.14
542,0.806641,0.262803,8202.62,3.14
543,1.20312,0.408398,8343.46,3.14
544,1.13379,0.420046,8486.72,3.14
545,1.25195,0.389545,8632.44,3.14
546,0.352539,0.281682,8780.66,3.14
547,0.857422,0.376989,8931.43,3.14
548,0.527344,0.239829,9084.79,3.14
549,0.869141,0.400371,9240.79,3.14
550,1.64258,0.599451,9399.46,3.14
551,1.48242,0.421976,9560.85,3.14
552,1.64844,0.538604,9725.02,3.14
553,1.02246,0.375721,9892.02,3.14
554,0.766602,0.30252,10061.9,3.14
555,0.90625,1.34071,10234.7,3.14
556,1.22168,0.567117,10410.4,3.14
557,0.985352,0.271774,10589.1,3.14
558,1.79492,0.935858,10771,3.14
559,1.38086,0.501341,10955.9,3.14
560,0.476562,0.468539,11144.1,3.14
561,0.839844,0.562589,11335.4,3.14
562,1.35547,1.06599,11530.1,3.14
563,0.517578,0.35909,11728.1,3.14
564,1.07617,0.607459,11929.4,3.14
565,1.3457,0.761908,12134.3,3.14
566,1.30664,0.941011,12342.7,3.14
567,2.09082,0.928107,12554.6,3.14
568,1.05566,0.677067,12770.2,3.14
569,0.756836,0.550071,12989.5,3.14
570,0.4375,0.611251,13212.5,3.14
571,0.430664,0.429469,13439.4,3.14
572,0.410156,0.683852,13670.2,3.14
573,1.01367,0.675842,13905,3.14
574,0.742188,0.691651,14143.8,3.14
575,0.771484,0.588299,14386.6,3.14
576,1.02148,0.701366,14633.7,3.14
577,0.481445,0.951868,14885,3.14
578,1.12109,1.12915,15140.6,3.14
579,0.727539,0.803214,15400.6,3.14
580,0.640625,1.00576,15665.1,3.14
581,1.04199,0.840978,15934.1,3.14
582,0.945312,1.64998,16207.7,3.14
583,0.800781,0.515403,16486.1,3.14
584,0.618164,1.04156,16769.2,3.14
585,0.34375,0.646126,17057.2,3.14
586,0.333984,0.739031,17350.1,3.14
587,0.34375,0.627317,17648,3.14
588,1.3125,1.29367,17951.1,3.14
589,1.47656,1.78374,18259.4,3.14
590,0.384766,0.749134,18573,3.14
591,0.0712891,0.469739,18891.9,3.14
592,0.220703,1.4124,19216.4,3.14
593,1.125,2.83716,19546.4,3.14
594,0.419922,0.924043,19882.1,3.14
595,1.28906,1.83879,20223.5,3.14
596,0.462891,1.19278,20570.8,3.14
597,0.324219,1.04324,20924.1,3.14
598,0.492188,0.809989,21283.5,3.14
599,0.236328,1.01571,21649,3.14
600,0.592773,1.26009,22020.8,3.14
601,0.276367,0.742646,22399,3.14
602,0.6875,1.17462,22783.7,3.14
603,0.479492,1.07967,23175,3.14
604,0.755859,0.851514,23573,3.14
605,0.162109,0.848506,23977.8,3.14
606,1.28027,2.63121,24389.6,3.14
607,0.732422,1.08816,24808.5,3.14
608,0.300781,1.41567,25234.6,3.14
609,0.330078,1.35591,25668,3.14
610,0.390625,2.55172,26108.8,3.14
611,0.490234,0.864868,26557.2,3.14
612,0.310547,1.31035,27013.3,3.14
613,0.197266,1.03661,27477.3,3.14
614,0.131836,1.10713,27949.2,3.14
615,0.419922,1.00389,28429.2,3.14
616,0.277344,1.04819,28917.5,3.14
617,0.274414,1.6993,29414.2,3.14
618,0.941406,5.19095,29919.3,3.14
619,0.207031,1.20798,30433.2,3.14
620,0.439453,1.8893,30955.9,3.14
621,0.211914,1.0833,31487.6,3.14
622,0.299805,1.26199,32028.4,3.14
623,0.25,1.62378,32578.5,3.14
624,0.418945,1.34139,33138,3.14
625,0.3125,1.58064,33707.2,3.14
626,0.55957,2.10024,34286.1,3.14
627,0.572266,2.25447,34875,3.14
628,0.285156,1.15535,35474,3.14
629,0.273438,1.77892,36083.3,3.14
630,0.246094,1.98092,36703,3.14
631,0.158203,1.73884,37333.4,3.14
632,0.203125,1.50452,37974.7,3.14
633,0.160156,2.12829,38626.9,3.14
634,0.505859,3.33957,39290.3,3.14
635,0.511719,2.66258,39965.2,3.14
636,0.275391,2.51307,40651.6,3.14
637,0.333984,1.85981,41349.8,3.14
638,0.4375,2.07387,42060,3.14
639,0.170898,2.47303,42782.4,3.14
640,0.435547,2.95693,43517.3,3.14
641,0.314453,2.77335,44264.7,3.14
642,0.164062,1.84449,45025,3.14
643,0.251953,2.26498,45798.4,3.14
644,0.1875,2.4448,46585,3.14
645,0.237305,1.69069,47385.1,3.14
646,0.225586,2.49479,48199,3.14
647,0.423828,5.53451,49026.9,3.14
648,0.188477,1.85117,49869,3.14
649,0.222656,3.1996,50725.6,3.14
650,0.203125,1.88271,51596.9,3.14
651,0.15332,1.85817,52483.1,3.14
652,0.295898,2.78957,53384.6,3.14
653,0.301758,3.7786,54301.5,3.14
654,0.130859,2.27044,55234.2,3.14
655,0.145508,1.79943,56183,3.14
656,0.0859375,1.63271,57148,3.14
657,0.144531,2.25819,58129.6,3.14
